Jurisdiction,2015 Households Without Vehicles,2016 Households Without Vehicles,2015 Vehicles Per Household,2016 Vehicles Per Household
"Abilene, Texas",5.40%,8.00%,1.71,1.69
"Akron, Ohio",14.50%,12.90%,1.42,1.46
"Albuquerque, New Mexico",8.50%,6.90%,1.69,1.75
"Alexandria, Virginia",10.10%,10.00%,1.38,1.34
"Allentown, Pennsylvania",19.20%,16.90%,1.31,1.33
"Amarillo, Texas",6.10%,4.20%,1.73,1.81
"Anaheim, California",5.70%,5.20%,2.01,2.05
"Anchorage, Alaska",6.80%,6.10%,1.84,1.95
"Ann Arbor, Michigan",12.40%,11.50%,1.45,1.44
"Antioch, California",5.70%,3.30%,2.14,2.24
"Arden-Arcade, California",8.80%,9.60%,1.53,1.58
"Arlington, Texas",4.70%,3.70%,1.85,1.89
"Arlington, Virginia",13.40%,12.70%,1.38,1.4
"Arvada, Colorado",3.70%,3.60%,2.04,2.07
"Athens-Clarke County, Georgia",11.20%,9.00%,1.52,1.67
"Atlanta, Georgia",15.20%,16.40%,1.31,1.28
"Augusta-Richmond County, Georgia",9.30%,9.10%,1.68,1.69
"Aurora, Colorado",7.40%,6.30%,1.82,1.85
"Aurora, Illinois",4.00%,3.80%,1.98,1.94
"Austin, Texas",6.90%,6.00%,1.65,1.65
"Bakersfield, California",5.50%,6.10%,1.93,1.92
"Baltimore, Maryland",30.70%,28.90%,1.08,1.08
"Baton Rouge, Louisiana",10.40%,11.40%,1.54,1.55
"Beaumont, Texas",8.80%,7.70%,1.57,1.62
"Bellevue, Washington",5.50%,6.90%,1.74,1.81
"Berkeley, California",19.80%,23.10%,1.29,1.23
"Billings, Montana",4.90%,6.70%,2.05,1.91
"Birmingham, Alabama",15.80%,12.30%,1.41,1.48
"Boise City, Idaho",4.70%,4.60%,1.81,1.7
"Boston, Massachusetts",35.40%,33.80%,0.94,0.94
"Boulder, Colorado",8.10%,7.30%,1.63,1.72
"Brandon, Florida",3.70%,6.60%,1.75,1.69
"Bridgeport, Connecticut",22.10%,20.10%,1.37,1.42
"Broken Arrow, Oklahoma",3.20%,3.00%,2.03,2
"Brownsville, Texas",7.60%,9.60%,1.73,1.73
"Buffalo, New York",30.00%,28.20%,1.03,1.08
"Burbank, California",7.60%,8.70%,1.65,1.71
"Cambridge, Massachusetts",30.90%,36.80%,0.9,0.86
"Cape Coral, Florida",3.00%,3.00%,1.72,1.78
"Carlsbad, California",2.20%,3.00%,1.99,2.01
"Carrollton, Texas",2.20%,2.50%,1.91,1.91
"Cary, North Carolina",2.40%,1.40%,1.94,1.89
"Cedar Rapids, Iowa",7.80%,5.90%,1.72,1.75
"Centennial, Colorado",2.60%,1.70%,2.1,2.15
"Chandler, Arizona",4.20%,4.20%,1.82,1.85
"Charleston, South Carolina",8.20%,7.20%,1.64,1.55
"Charlotte, North Carolina",7.40%,6.00%,1.65,1.71
"Chattanooga, Tennessee",11.80%,10.60%,1.53,1.54
"Chesapeake, Virginia",4.50%,4.40%,2.02,1.99
"Chicago, Illinois",26.50%,27.50%,1.11,1.12
"Chula Vista, California",4.90%,4.90%,1.99,2.01
"Cincinnati, Ohio",19.30%,21.20%,1.27,1.3
"Clarksville, Tennessee",4.70%,2.40%,1.78,1.84
"Clearwater, Florida",10.60%,10.90%,1.49,1.45
"Cleveland, Ohio",23.50%,23.70%,1.15,1.19
"Clovis, California",5.50%,4.00%,1.92,1.98
"College Station, Texas",4.70%,6.30%,1.78,1.86
"Colorado Springs, Colorado",5.80%,4.50%,1.8,1.85
"Columbia, Maryland",8.60%,5.00%,1.72,1.81
"Columbia, Missouri",9.00%,5.50%,1.66,1.68
"Columbia, South Carolina",12.90%,10.40%,1.47,1.55
"Columbus, Georgia",12.40%,8.60%,1.52,1.68
"Columbus, Ohio",9.80%,9.40%,1.54,1.55
"Concord, California",6.90%,7.00%,1.94,1.86
"Coral Springs, Florida",4.10%,5.10%,1.88,1.81
"Corona, California",3.50%,2.60%,2.17,2.29
"Corpus Christi, Texas",8.50%,7.90%,1.75,1.77
"Costa Mesa, California",6.00%,3.00%,1.79,2
"Dallas, Texas",10.20%,9.10%,1.56,1.59
"Daly City, California",6.40%,8.60%,1.96,1.95
